,subject,sex,T3_AGE,trial,recall,skill
3,1004,Female,84.73100616,0,9,3
3.1,1004,Female,84.73100616,1,10,7
3.2,1004,Female,84.73100616,2,14,9
3.3,1004,Female,84.73100616,3,15,9
3.4,1004,Female,84.73100616,4,19,10
3.5,1004,Female,84.73100616,5,18,10
3.6,1004,Female,84.73100616,6,20,9
5,1006,Female,70.75427789,0,6,3
5.1,1006,Female,70.75427789,1,10,5
5.2,1006,Female,70.75427789,2,14,6
5.3,1006,Female,70.75427789,3,17,4
5.4,1006,Female,70.75427789,4,19,6
5.5,1006,Female,70.75427789,5,22,5
5.6,1006,Female,70.75427789,6,25,7
7,1008,Male,71.93155373,0,3,10
7.1,1008,Male,71.93155373,1,9,12
7.2,1008,Male,71.93155373,2,15,13
7.3,1008,Male,71.93155373,3,20,13
7.4,1008,Male,71.93155373,4,20,12
7.5,1008,Male,71.93155373,5,19,14
7.6,1008,Male,71.93155373,6,21,14
8,1009,Male,73.54962355,0,5,7
8.1,1009,Male,73.54962355,1,15,7
8.2,1009,Male,73.54962355,2,16,7
8.3,1009,Male,73.54962355,3,16,9
8.4,1009,Male,73.54962355,4,19,11
8.5,1009,Male,73.54962355,5,20,14
8.6,1009,Male,73.54962355,6,22,13
9,1010,Female,77.88364134,0,3,4
9.1,1010,Female,77.88364134,1,6,7
9.2,1010,Female,77.88364134,2,9,7
9.3,1010,Female,77.88364134,3,15,8
9.4,1010,Female,77.88364134,4,17,8
9.5,1010,Female,77.88364134,5,17,7
9.6,1010,Female,77.88364134,6,21,8
10,1011,Male,81.87816564,0,6,2
10.1,1011,Male,81.87816564,1,13,3
10.2,1011,Male,81.87816564,2,12,6
10.3,1011,Male,81.87816564,3,18,6
10.4,1011,Male,81.87816564,4,18,7
10.5,1011,Male,81.87816564,5,16,7
10.6,1011,Male,81.87816564,6,16,9
11,1012,Female,78.45585216,0,8,2
11.1,1012,Female,78.45585216,1,11,6
11.2,1012,Female,78.45585216,2,13,8
11.3,1012,Female,78.45585216,3,14,11
11.4,1012,Female,78.45585216,4,15,11
11.5,1012,Female,78.45585216,5,20,11
11.6,1012,Female,78.45585216,6,22,12
14,1015,Male,76.96919918,0,3,7
14.1,1015,Male,76.96919918,1,6,8
14.2,1015,Male,76.96919918,2,12,10
14.3,1015,Male,76.96919918,3,13,9
14.4,1015,Male,76.96919918,4,17,7
14.5,1015,Male,76.96919918,5,14,9
14.6,1015,Male,76.96919918,6,17,9
15,1016,Female,73.39904175,0,5,5
15.1,1016,Female,73.39904175,1,6,5
15.2,1016,Female,73.39904175,2,8,5
15.3,1016,Female,73.39904175,3,11,7
15.4,1016,Female,73.39904175,4,10,6
15.5,1016,Female,73.39904175,5,12,10
15.6,1016,Female,73.39904175,6,12,10
18,1019,Female,80.98562628,0,5,4
18.1,1019,Female,80.98562628,1,10,5
18.2,1019,Female,80.98562628,2,10,4
18.3,1019,Female,80.98562628,3,16,4
18.4,1019,Female,80.98562628,4,15,4
18.5,1019,Female,80.98562628,5,14,4
18.6,1019,Female,80.98562628,6,15,3
19,1020,Female,80.1779603,0,2,5
19.1,1020,Female,80.1779603,1,8,7
19.2,1020,Female,80.1779603,2,11,8
19.3,1020,Female,80.1779603,3,14,10
19.4,1020,Female,80.1779603,4,14,9
19.5,1020,Female,80.1779603,5,11,9
19.6,1020,Female,80.1779603,6,10,8
22,1023,Female,79.52908966,0,6,0
22.1,1023,Female,79.52908966,1,13,4
22.2,1023,Female,79.52908966,2,16,2
22.3,1023,Female,79.52908966,3,15,4
22.4,1023,Female,79.52908966,4,17,4
22.5,1023,Female,79.52908966,5,17,4
22.6,1023,Female,79.52908966,6,18,4
24,1025,Male,78.51882272,0,10,9
24.1,1025,Male,78.51882272,1,11,8
24.2,1025,Male,78.51882272,2,14,13
24.3,1025,Male,78.51882272,3,15,15
24.4,1025,Male,78.51882272,4,15,14
24.5,1025,Male,78.51882272,5,15,16
24.6,1025,Male,78.51882272,6,17,14
27,1028,Female,77.26488706,0,7,0
27.1,1028,Female,77.26488706,1,9,0
27.2,1028,Female,77.26488706,2,11,1
27.3,1028,Female,77.26488706,3,12,2
27.4,1028,Female,77.26488706,4,12,0
27.5,1028,Female,77.26488706,5,12,1
27.6,1028,Female,77.26488706,6,19,3
29,1030,Male,72.1615332,0,4,2
29.1,1030,Male,72.1615332,1,7,5
29.2,1030,Male,72.1615332,2,10,4
29.3,1030,Male,72.1615332,3,11,6
29.4,1030,Male,72.1615332,4,9,5
29.5,1030,Male,72.1615332,5,15,8
29.6,1030,Male,72.1615332,6,15,10
33,1034,Female,72.67351129,0,9,6
33.1,1034,Female,72.67351129,1,12,7
33.2,1034,Female,72.67351129,2,15,8
33.3,1034,Female,72.67351129,3,21,9
33.4,1034,Female,72.67351129,4,20,10
33.5,1034,Female,72.67351129,5,20,8
33.6,1034,Female,72.67351129,6,23,11
37,1038,Male,72.39425051,0,7,5
37.1,1038,Male,72.39425051,1,10,9
37.2,1038,Male,72.39425051,2,16,9
37.3,1038,Male,72.39425051,3,20,9
37.4,1038,Male,72.39425051,4,16,11
37.5,1038,Male,72.39425051,5,21,12
37.6,1038,Male,72.39425051,6,22,11
38,1039,Male,84.81587953,0,6,2
38.1,1039,Male,84.81587953,1,11,2
38.2,1039,Male,84.81587953,2,10,5
38.3,1039,Male,84.81587953,3,14,5
38.4,1039,Male,84.81587953,4,13,5
38.5,1039,Male,84.81587953,5,13,6
38.6,1039,Male,84.81587953,6,13,7
41,1042,Male,80.90075291,0,2,3
41.1,1042,Male,80.90075291,1,8,3
41.2,1042,Male,80.90075291,2,10,2
41.3,1042,Male,80.90075291,3,12,6
41.4,1042,Male,80.90075291,4,11,7
41.5,1042,Male,80.90075291,5,10,7
41.6,1042,Male,80.90075291,6,11,9
42,1043,Female,84.04106776,0,4,3
42.1,1043,Female,84.04106776,1,12,2
42.2,1043,Female,84.04106776,2,12,2
42.3,1043,Female,84.04106776,3,13,4
42.4,1043,Female,84.04106776,4,15,4
42.5,1043,Female,84.04106776,5,15,5
42.6,1043,Female,84.04106776,6,18,6
43,1044,Female,77.34154689,0,4,7
43.1,1044,Female,77.34154689,1,12,11
43.2,1044,Female,77.34154689,2,17,13
43.3,1044,Female,77.34154689,3,19,14
43.4,1044,Female,77.34154689,4,22,16
43.5,1044,Female,77.34154689,5,23,15
43.6,1044,Female,77.34154689,6,24,15
46,1047,Male,81.28405202,0,3,4
46.1,1047,Male,81.28405202,1,8,7
46.2,1047,Male,81.28405202,2,10,8
46.3,1047,Male,81.28405202,3,14,9
49,1050,Male,77.06502396,0,5,6
49.1,1050,Male,77.06502396,1,9,9
49.2,1050,Male,77.06502396,2,13,12
